ticker,company_name,industry_group,sector_detail,company_type
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng,Ngân hàng,NH
TCD,Công ty cổ phần Tập đoàn Xây dựng Tracodi,Xây dựng và Vật liệu,Xây dựng,CT
EMS,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Hàng & Dịch vụ Công nghiệp,Chuyển phát nhanh,CT
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Bất động sản,Bất động sản,CT
AAH,Công ty Cổ phần Hợp Nhất,Tài nguyên Cơ bản,Khai thác Than,CT
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Hóa chất,"Nhựa, cao su & sợi",CT
LCC,Công ty Cổ phần Xi măng Hồng Phong,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
CMP,Công ty Cổ phần Cảng Chân Mây,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
NCG,Công ty Cổ phần Tập đoàn Nova Consumer,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
BCB,Công ty Cổ phần 397,Tài nguyên Cơ bản,Khai thác Than,CT
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Ô tô và phụ tùng,Lốp xe,CT
DFF,Công ty Cổ phần Tập đoàn Đua Fat,Xây dựng và Vật liệu,Xây dựng,CT
BCP,Công ty Cổ phần Dược Enlie,Y tế,Dược phẩm,CT
CBI,Công ty Cổ phần Gang thép Cao Bằng,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
STK,Công ty Cổ phần Sợi Thế Kỷ,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
ECI,Công ty Cổ phần Tập đoàn ECI,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
CKV,Công ty Cổ phần CokyVina,Công nghệ Thông tin,Thiết bị viễn thông,CT
UNI,Công ty Cổ phần Đầu tư và Phát triển Sao Mai Việt,Công nghệ Thông tin,Dịch vụ Máy tính,CT
ART,Công ty Cổ phần Chứng khoán ARTEX,Dịch vụ tài chính,Môi giới chứng khoán,CK
